model,family,metric_name,block,reading_bin,reading_phase,raw_spearman_rho,length_controlled_spearman_rho,n_programs,status
Qwen,Expert-choice confidence,fixed_v8_composite_1,0,0,early,0.1184017595307917,0.2159090909090908,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,0,1,early,0.034090909090909,0.1528592375366569,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,0,2,early,-0.0351906158357771,-0.0311583577712609,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,0,3,early,-0.0355571847507331,0.0487536656891495,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,0,4,middle,-0.2364369501466275,-0.2177419354838709,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,0,5,middle,-0.0172287390029325,0.064882697947214,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,0,6,middle,0.0406891495601173,0.0843108504398826,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,0,7,middle,-0.0047653958944281,0.0381231671554252,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,0,8,late,-0.0821114369501466,-0.0095307917888563,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,0,9,late,0.1011730205278592,0.1389296187683284,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,0,10,late,-0.0076979472140762,0.0348240469208211,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,0,11,late,0.0157624633431085,0.0791788856304985,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,1,0,early,-0.1004398826979472,0.0403225806451612,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,1,1,early,-0.2910557184750733,-0.128299120234604,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,1,2,early,-0.2778592375366568,-0.219574780058651,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,1,3,early,-0.2093108504398826,-0.0469208211143695,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,1,4,middle,-0.3658357771260997,-0.2529325513196481,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,1,5,middle,-0.2155425219941348,-0.2111436950146627,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,1,6,middle,-0.1803519061583577,-0.0978739002932551,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,1,7,middle,-0.2166422287390029,-0.1429618768328445,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,1,8,late,-0.1730205278592375,-0.0249266862170087,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,1,9,late,-0.1228005865102639,-0.001466275659824,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,1,10,late,-0.1191348973607038,-0.0186950146627565,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,1,11,late,-0.2877565982404692,-0.2071114369501466,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,2,0,early,-0.0835777126099706,-0.0278592375366568,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,2,1,early,-0.2437683284457477,-0.2115102639296187,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,2,2,early,-0.1678885630498533,-0.1458944281524926,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,2,3,early,-0.1561583577712609,-0.095307917888563,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,2,4,middle,-0.3049853372434017,-0.3104838709677419,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,2,5,middle,-0.0766129032258064,-0.1081378299120234,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,2,6,middle,-0.0344574780058651,0.0586510263929618,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,2,7,middle,-0.1825513196480938,-0.1792521994134897,32,available
