run_id,model,benchmark,condition,training_seed,mask_seed,generation_pass,n_tasks,n_correct,pass_at_1_percent,fixed_blocks
qwen_lcb_regular_ft,qwen,lcb,Regular FT,90317,,1,175,33,18.857142857142858,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47
qwen_lcb_random_k6_mask90317,qwen,lcb,Random-K6,90317,90317.0,1,175,39,22.285714285714285,0;7;19;22;25;43
qwen_lcb_random_k6_mask90318,qwen,lcb,Random-K6,90317,90318.0,1,175,41,23.42857142857143,3;6;14;22;23;41
qwen_lcb_random_k6_mask90319,qwen,lcb,Random-K6,90317,90319.0,1,175,40,22.857142857142858,2;17;26;44;45;47
qwen_lcb_cka_k6,qwen,lcb,CKA-K6,90317,,1,175,43,24.571428571428573,0;1;2;4;37;47
qwen_lcb_dynamic,qwen,lcb,CogAdapt,90317,,1,175,52,29.714285714285715,
qwen_bcb_regular_ft,qwen,bcb,Regular FT,90317,,1,220,80,36.36363636363637,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47
qwen_bcb_random_k6_mask90317,qwen,bcb,Random-K6,90317,90317.0,1,220,76,34.54545454545455,0;7;19;22;25;43
qwen_bcb_random_k6_mask90318,qwen,bcb,Random-K6,90317,90318.0,1,220,73,33.18181818181819,3;6;14;22;23;41
qwen_bcb_random_k6_mask90319,qwen,bcb,Random-K6,90317,90319.0,1,220,78,35.45454545454545,2;17;26;44;45;47
qwen_bcb_cka_k6,qwen,bcb,CKA-K6,90317,,1,220,72,32.72727272727273,0;1;2;4;36;37
qwen_bcb_dynamic,qwen,bcb,CogAdapt,90317,,1,220,83,37.72727272727273,
glm_lcb_regular_ft,glm,lcb,Regular FT,90317,,1,175,31,17.71428571428571,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46
glm_lcb_random_k6_mask90317,glm,lcb,Random-K6,90317,90317.0,1,175,36,20.57142857142857,0;7;19;21;25;42
glm_lcb_random_k6_mask90318,glm,lcb,Random-K6,90317,90318.0,1,175,32,18.285714285714285,3;6;14;21;22;40
glm_lcb_random_k6_mask90319,glm,lcb,Random-K6,90317,90319.0,1,175,37,21.142857142857142,2;16;17;25;43;44
glm_lcb_cka_k6,glm,lcb,CKA-K6,90317,,1,175,37,21.142857142857142,0;1;3;5;41;46
glm_lcb_dynamic,glm,lcb,CogAdapt,90317,,1,175,42,24.0,
glm_bcb_regular_ft,glm,bcb,Regular FT,90317,,1,220,63,28.636363636363637,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46
glm_bcb_random_k6_mask90320,glm,bcb,Random-K6,90317,90320.0,1,220,66,30.0,9;20;23;31;35;42
glm_bcb_random_k6_mask90321,glm,bcb,Random-K6,90317,90321.0,1,220,67,30.454545454545457,22;24;33;35;36;40
glm_bcb_random_k6_mask90322,glm,bcb,Random-K6,90317,90322.0,1,220,70,31.818181818181817,5;8;11;12;16;18
glm_bcb_cka_k6,glm,bcb,CKA-K6,90317,,1,220,63,28.636363636363637,0;1;2;3;5;46
glm_bcb_dynamic,glm,bcb,CogAdapt,90317,,1,220,70,31.818181818181817,
