model,benchmark,condition,n_runs,n_tasks,pass_at_1_percent,sample_sd_pp,mask_seeds
qwen,lcb,Regular FT,1,175,18.857142857142858,,
qwen,lcb,Random-K6,3,175,22.857142857142858,0.571428571428573,90317;90318;90319
qwen,lcb,CKA-K6,1,175,24.571428571428573,,
qwen,lcb,CogAdapt,1,175,29.714285714285715,,
qwen,bcb,Regular FT,1,220,36.36363636363637,,
qwen,bcb,Random-K6,3,220,34.3939393939394,1.1439143083743528,90317;90318;90319
qwen,bcb,CKA-K6,1,220,32.72727272727273,,
qwen,bcb,CogAdapt,1,220,37.72727272727273,,
glm,lcb,Regular FT,1,175,17.71428571428571,,
glm,lcb,Random-K6,3,175,20.0,1.5118578920369088,90317;90318;90319
glm,lcb,CKA-K6,1,175,21.142857142857142,,
glm,lcb,CogAdapt,1,175,24.0,,
glm,bcb,Regular FT,1,220,28.636363636363637,,
glm,bcb,Random-K6,3,220,30.757575757575754,0.94621181793915,90320;90321;90322
glm,bcb,CKA-K6,1,220,28.636363636363637,,
glm,bcb,CogAdapt,1,220,31.818181818181817,,
